province,id,type,price,rooms,latitude,longitude,postal_code
Girona,106678773,Casa Rural,1400,2,"42,3175013","2,3140181",17869
Girona,89757532,Piso,6000,2,"41,978706","3,2061069",17213
Girona,93083765,Chalet,8580,4,"41,9682635","3,2047254",17213
Girona,89777769,Piso,4600,2,"41,9829127","3,2051682",17255
Girona,93087155,Piso,1435,3,"41,995991","3,1900548",17255
Girona,89742889,Chalet,12320,4,"41,97973","3,20603",17213
Girona,104597324,Piso,12000,2,"41,9799423","3,2054129",17213
Girona,93080602,Chalet,7580,3,"41,9856447","3,1977722",17255
Girona,90835812,Ático,1100,3,"41,7003325","2,8503975",17310
Girona,104964962,Chalet,2700,3,"41,918848","3,183283",17212
Girona,106100275,Chalet,2700,4,"41,86454","3,0767393",17251
Girona,93068348,Chalet,15440,5,"41,9849214","3,1958565",17255
Girona,104900792,Chalet,10000,3,"41,8493398","3,1271774",17230
Girona,106142864,Chalet,2700,4,"42,4109769","1,847147",17539
Girona,102613464,Piso,850,3,"41,8464324","3,1101287",17251
Girona,106827164,Ático,1500,3,"41,9863963","2,8262063",17004
Girona,106583247,Chalet,2000,4,"41,7829795","3,0290875",17220
Girona,106879443,Chalet,1700,3,"42,0077639","3,1909344",17130
Girona,106895090,Piso,700,2,"42,1145994","3,14363",17130
Girona,98354641,Chalet,1190,4,"41,8809172","2,5080465",17403
Girona,106913027,Chalet,1400,3,"42,4480242","1,8804077",17528
Girona,105304328,Piso,2200,3,"41,9892893","2,8057081",17006
Girona,106473321,Piso,750,1,"41,6947791","2,8233879",17310
Girona,106578159,Chalet,1000,2,"42,113605","3,1530064",17130
Girona,106905388,Piso,900,3,"42,0504517","2,9201489",17462
Girona,106896310,Chalet,1100,4,"42,1477896","2,5781861",
Girona,99167060,Ático,1300,3,"41,7817541","3,0305193",17220
Girona,98987442,Piso,980,3,"42,4301256","1,9301005",17520
Girona,98490459,Duplex,990,2,"41,7820357","3,029478",17220
Girona,87682802,Chalet,1293,2,"41,9846415","2,8286778",17004
Girona,106901260,Ático,1600,2,"41,9831019","2,8235816",17001
Girona,105329346,Piso,2000,1,"41,71731","2,9327636",17320
Girona,106540033,Duplex,1150,4,"42,4318478","1,9287105",17520
Girona,83288943,Piso,750,1,"41,8440454","3,1000081",17251
Girona,106843745,Chalet,2500,4,"41,80779","2,98538",17246
Girona,105498192,Chalet,3500,3,"42,3731562","1,8870918",17538
Girona,106291993,Piso,800,3,"41,8489174","3,0974301",17251
Girona,101343326,Chalet,2600,5,"42,4446447","1,7866066",
Girona,106861826,Ático,12000,4,"41,7986781","3,0494572",17248
Girona,100006509,Chalet,3000,5,"42,4440399","1,7847678",
Girona,106529952,Chalet,1500,3,"42,4502172","1,87899",17528
Girona,106436749,Ático,1000,2,"42,1211033","3,1374667",17130
Girona,100424682,Casa Rural,2100,3,"42,0696837","2,7955351",17843
Girona,105725250,Estudio,790,0,"41,6958135","2,8342819",17310
Girona,105987346,Piso,1800,3,"41,782134","3,0327964",17220
Girona,105792474,Casa Rural,2000,5,"42,3712785","2,9813945",17751
Girona,32204771,Casa Rural,1400,4,"42,3221371","2,784274",17732
Girona,102798751,Piso,890,2,"42,2422016","3,1267176",17486
Girona,102630638,Estudio,685,0,"42,2388603","3,1241802",17486
Girona,102800325,Piso,735,1,"42,2389304","3,1239763",17486
Girona,102798892,Piso,990,2,"42,2383924","3,1239839",17486
Girona,102797975,Chalet,890,2,"42,239286","3,1235118",17486
Girona,102798110,Chalet,1975,4,"42,2392854","3,1242253",17486
Girona,106478413,Chalet,1800,3,"41,7821053","3,0305125",17220
Girona,103396186,Piso,990,2,"42,2424437","3,1278446",17486
Girona,106552973,Casa Rural,4500,3,"41,9703026","2,8026064",17006
Girona,103398418,Piso,975,2,"42,2637381","3,1467147",17480
Girona,106922790,Piso,1350,3,"41,9319794","2,8127475",17458
Girona,106045894,Piso,690,1,"42,2487356","3,1213891",17487
Girona,83275041,Piso,1000,3,"41,7812169","3,0299558",17220
Girona,105979324,Piso,950,2,"42,2634658","3,1806008",17480
Girona,106865354,Piso,700,2,"41,8530823","3,0858265",17251
Girona,105400061,Chalet,1400,2,"42,0224584","2,7005146",
Girona,82659037,Piso,1400,3,"41,8050595","3,0597719",17248
Girona,106635017,Piso,750,1,"41,8170152","3,061489",17248
Girona,104924835,Piso,1500,2,"41,9956586","2,8100909",17007
Girona,83275041,Piso,1000,3,"41,7812169","3,0299558",17220
Girona,106641628,Piso,1200,3,"42,2641845","3,1805254",17480
Girona,102449221,Piso,1250,4,"41,8493912","3,1296396",17230
Girona,82659037,Piso,1400,3,"41,8050595","3,0597719",17248
Girona,105979324,Piso,950,2,"42,2634658","3,1806008",17480
Girona,106067054,Piso,1500,2,"41,9705597","2,8084982",17006
Girona,106053285,Piso,1400,2,"41,9671672","2,813157",17005
Girona,106598184,Piso,650,2,"41,7113202","2,8469209",17310
Girona,105400061,Chalet,1400,2,"42,0224584","2,7005146",
Girona,106580155,Ático,1800,2,"41,9894008","2,8258521",17007
Girona,104924878,Piso,1500,1,"41,9934023","2,8078148",17007
Girona,82394260,Piso,800,1,"41,7850739","3,0339763",17220
Girona,104847471,Duplex,1450,4,"41,706495","2,8472176",17310
Girona,106328086,Chalet,8500,5,"41,8307481","3,0264113",17248
Girona,98621664,Piso,2200,2,"41,977006","2,8216823",17002
Girona,103498230,Chalet,2500,6,"41,8898529","3,1843186",17210
Girona,105624580,Piso,900,2,"42,3388343","1,9509703",17538
Girona,106174400,Piso,900,2,"41,6986146","2,8345681",17310
Girona,105804802,Piso,950,2,"41,811453","3,0663447",17248
Girona,100315758,Piso,1000,2,"41,8477433","3,1035234",17251
Girona,106328088,Chalet,8500,5,"41,8314326","3,030057",17248
Girona,99283966,Piso,2620,3,"41,9783841","2,8203241",17002
Girona,103418129,Piso,1300,3,"41,7211781","2,9356682",17320
Girona,104721300,Chalet,3000,3,"41,829115","3,0819961",17252
Girona,102915456,Casa Rural,2000,4,"42,1073349","2,9923507",17144
Girona,105974408,Duplex,750,2,"41,7017721","2,8520877",17310
Girona,106829721,Piso,1300,4,"41,6752387","2,7985241",17300
Girona,105843329,Chalet,2000,4,"42,2501337","2,914517",17742
Girona,105007654,Piso,660,3,"41,973656","2,8381752",17004
Girona,105424678,Piso,5500,2,"41,8177907","3,0625197",17248
Girona,106304336,Piso,2000,3,"41,9824558","2,8209996",17001
Girona,103469091,Chalet,9800,6,"41,8187405","3,0651434",17248
Girona,106444298,Piso,1150,2,"41,8090109","3,0594616",17248
Girona,106764202,Piso,1400,3,"42,1127377","3,134958",17130
Girona,106639232,Piso,1490,4,"42,1212173","3,1320957",17130
Girona,103423353,Piso,1147,2,"41,8022708","3,0625876",17248
Girona,104908542,Chalet,4500,3,"41,8294983","3,0774598",17248
Girona,102119102,Piso,1200,1,"41,7848698","3,0470445",17220
Girona,104924885,Piso,1200,2,"41,8078774","3,0603438",17248
Girona,102003211,Piso,4500,5,"41,7759161","3,0196046",17220
Girona,106399831,Piso,1100,2,"41,8067178","3,0526256",17248
Girona,106799641,Estudio,520,0,"41,81363","3,0662383",17248
Girona,105099660,Piso,1300,2,"41,7927984","3,0570477",17248
Girona,102924742,Duplex,1800,3,"41,8013079","3,061009",17248
Girona,106608948,Piso,850,2,"42,2522","3,1032",17486
Girona,103423353,Piso,1147,2,"41,8022708","3,0625876",17248
Girona,102119102,Piso,1200,1,"41,7848698","3,0470445",17220
Girona,104908542,Chalet,4500,3,"41,8294983","3,0774598",17248
Girona,95932767,Piso,1051,1,"41,8180156","3,0669782",17248
Girona,105704191,Piso,1800,2,"42,0076863","2,8220715",17007
